dataset,profile,cost_mode,segment_type,segment_value,n_test,tie_count,tie_rate,coverage_count,coverage_rate,disagree_count,disagree_rate_all,disagree_rate_covered
stageb,q50_c50,delta_net_minus_gross,temperature,0.0,44,-9,-0.20454545454545456,9,0.20454545454545447,3,0.06818181818181818,0.06593406593406592
stageb,q20_c80,gross,temperature,0.0,44,18,0.4090909090909091,26,0.5909090909090909,3,0.06818181818181818,0.11538461538461539
stageb,q20_c80,net,temperature,0.0,44,9,0.20454545454545456,35,0.7954545454545454,4,0.09090909090909091,0.11428571428571428
stageb,q20_c80,delta_net_minus_gross,temperature,0.0,44,-9,-0.20454545454545456,9,0.20454545454545447,1,0.022727272727272735,-0.0010989010989011089
stageb,q80_c20,gross,temperature,0.3,45,19,0.4222222222222222,26,0.5777777777777777,6,0.13333333333333333,0.23076923076923078
stageb,q80_c20,net,temperature,0.3,45,15,0.3333333333333333,30,0.6666666666666666,11,0.24444444444444444,0.36666666666666664
stageb,q80_c20,delta_net_minus_gross,temperature,0.3,45,-4,-0.0888888888888889,4,0.0888888888888889,5,0.1111111111111111,0.13589743589743586
stageb,q50_c50,gross,temperature,0.3,45,24,0.5333333333333333,21,0.4666666666666667,4,0.08888888888888889,0.19047619047619047
stageb,q50_c50,net,temperature,0.3,45,5,0.1111111111111111,40,0.8888888888888888,11,0.24444444444444444,0.275
stageb,q50_c50,delta_net_minus_gross,temperature,0.3,45,-19,-0.4222222222222222,19,0.42222222222222217,7,0.15555555555555556,0.08452380952380956
stageb,q20_c80,gross,temperature,0.3,45,25,0.5555555555555556,20,0.4444444444444444,3,0.06666666666666667,0.15
stageb,q20_c80,net,temperature,0.3,45,8,0.17777777777777778,37,0.8222222222222222,6,0.13333333333333333,0.16216216216216217
stageb,q20_c80,delta_net_minus_gross,temperature,0.3,45,-17,-0.37777777777777777,17,0.37777777777777777,3,0.06666666666666667,0.012162162162162177
stageb,q80_c20,gross,pattern,branch,18,7,0.3888888888888889,11,0.6111111111111112,3,0.16666666666666666,0.2727272727272727
stageb,q80_c20,net,pattern,branch,18,6,0.3333333333333333,12,0.6666666666666666,3,0.16666666666666666,0.25
stageb,q80_c20,delta_net_minus_gross,pattern,branch,18,-1,-0.05555555555555558,1,0.05555555555555547,0,0.0,-0.022727272727272707
stageb,q50_c50,gross,pattern,branch,18,8,0.4444444444444444,10,0.5555555555555556,2,0.1111111111111111,0.2
